epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.5576,1.25306,2.20559,1.26649,0.90203,0.21731,0.65838,0.47576,0.89411,2.35624,1.052,0.000545918,0.000545918,0.000545918
2,61.2647,0.98632,1.22215,1.10081,0.8407,0.82911,0.84428,0.63997,0.92796,1.41632,1.0725,0.00107977,0.00107977,0.00107977
3,78.4975,0.9909,1.15483,1.10855,0.77811,0.80813,0.82228,0.60366,1.03067,1.31081,1.14245,0.00159162,0.00159162,0.00159162
4,95.5861,0.94479,1.06078,1.091,0.84034,0.83776,0.88384,0.68762,0.86093,1.12208,1.04656,0.00156798,0.00156798,0.00156798
5,112.615,0.90069,0.96511,1.06698,0.91019,0.86749,0.9172,0.75015,0.75058,0.95441,0.99673,0.00153497,0.00153497,0.00153497
6,129.686,0.86854,0.92302,1.05983,0.86513,0.84836,0.90455,0.70696,0.86725,0.98545,1.07527,0.00150197,0.00150197,0.00150197
7,146.717,0.86369,0.89204,1.05114,0.90781,0.84834,0.92363,0.77186,0.73707,0.87462,0.98038,0.00146896,0.00146896,0.00146896
8,163.645,0.83947,0.8643,1.05021,0.92314,0.87456,0.91937,0.77088,0.74211,0.79992,0.97796,0.00143595,0.00143595,0.00143595
9,180.693,0.81757,0.82844,1.03247,0.89628,0.89708,0.91996,0.76799,0.6999,0.74408,0.96473,0.00140295,0.00140295,0.00140295
10,197.665,0.77579,0.77185,1.01175,0.89891,0.89223,0.91491,0.76467,0.70472,0.77323,0.97718,0.00136994,0.00136994,0.00136994
11,214.64,0.76958,0.76036,1.00979,0.92547,0.89996,0.92044,0.77202,0.66423,0.81291,0.95473,0.00133693,0.00133693,0.00133693
12,231.553,0.78887,0.77479,1.02075,0.89964,0.88168,0.917,0.75348,0.75792,0.789,0.99247,0.00130393,0.00130393,0.00130393
13,248.462,0.74217,0.72594,1.00616,0.92627,0.87279,0.92394,0.79312,0.65809,0.73919,0.94442,0.00127092,0.00127092,0.00127092
14,265.482,0.75264,0.73416,1.00468,0.91985,0.89576,0.93034,0.79157,0.67269,0.69096,0.95692,0.00123791,0.00123791,0.00123791
15,282.418,0.73498,0.71339,0.99468,0.90375,0.90106,0.92331,0.78927,0.67117,0.74238,0.96045,0.00120491,0.00120491,0.00120491
16,299.314,0.69906,0.6608,0.9788,0.89794,0.89576,0.92531,0.80434,0.63049,0.65671,0.94646,0.0011719,0.0011719,0.0011719
17,316.258,0.68978,0.64971,0.97398,0.91735,0.90283,0.93108,0.80253,0.62706,0.63291,0.93664,0.00113889,0.00113889,0.00113889
18,333.263,0.69549,0.6533,0.97728,0.92541,0.88571,0.92629,0.80115,0.6149,0.65027,0.92205,0.00110589,0.00110589,0.00110589
19,350.265,0.67838,0.64185,0.9712,0.90283,0.899,0.92938,0.79207,0.6436,0.697,0.96249,0.00107288,0.00107288,0.00107288
20,367.196,0.68194,0.63035,0.97257,0.91978,0.88274,0.92102,0.79725,0.63357,0.65845,0.94959,0.00103987,0.00103987,0.00103987
21,384.131,0.67484,0.62169,0.97118,0.92551,0.88869,0.93152,0.80031,0.63793,0.65185,0.95224,0.00100687,0.00100687,0.00100687
22,401.024,0.65979,0.6085,0.96848,0.91223,0.89576,0.92669,0.80563,0.62478,0.65928,0.9334,0.000973861,0.000973861,0.000973861
23,417.927,0.65456,0.60513,0.96383,0.87266,0.9258,0.9308,0.8104,0.63794,0.60699,0.95116,0.000940855,0.000940855,0.000940855
24,434.907,0.64403,0.59979,0.95722,0.92738,0.89223,0.93206,0.81097,0.602,0.6288,0.92897,0.000907848,0.000907848,0.000907848
25,451.779,0.62216,0.58266,0.94719,0.91734,0.90109,0.93682,0.8112,0.62153,0.64409,0.94823,0.000874842,0.000874842,0.000874842
